144,10,,,,,,,,,
gccount,Distance.to.TSS,K562_dnase,K562_H3K9ac_merge,K562_H3K4me3_merge,K562_H3K4me1_usc,K562_H3K27ac_broad,K562_H3K36me3_merge,K562_H3K9me3_broad,K562_H3K27me3_usc,score
-0.259637311,2.28780173,0.781036939,1.64601141,1.02201574,1.702430536,2.080301727,0,0.340444115,0.336459734,2.1071911
-0.259637311,1.919078092,0.710963119,1.617838748,1.521007252,-0.060480747,1.600646236,0,0.340444115,0.093421685,2.1055852
-0.096910013,1.748188027,1.29578694,1.324488233,0.40654018,2.094366298,0.697229343,0.068185862,0.725094521,1.416307587,1.92834377
-0.124938737,2.421603927,1.642761203,1.288696261,0.276461804,0.416640507,1.750045312,0.127104798,0.580924976,0.190331698,1.88496435
-0.15490196,2.187520721,1.417305583,1.346744055,-0.795880017,1.240049772,1.672005445,0,0.525044807,0.190331698,1.85601065
-0.124938737,2.021189299,2.051113917,2.214525955,1.609274172,2.0253878,2.265713811,0.428134794,1.111598525,1.035829825,1.74842147
-0.070581074,2.089905111,0.968949681,1.564192461,1.479287316,1.206286044,1.383815366,-0.48148606,-0.161150909,0.190331698,1.72279458
-0.15490196,2.178976947,1.642167634,1.276231958,0.257678575,0.416640507,1.733277534,0,0.580924976,0.269512944,1.72122104
-0.124938737,2.342422681,1.010299957,1.407390904,1.245018871,1.1430148,1.10754913,-0.769551079,0.1430148,0.093421685,1.70093831
-0.301029996,2.485721426,0.638489257,1.665487181,0.81756537,1.572523098,2.178746797,0.264817823,0.442479769,0.394451681,1.58655196
-0.22184875,2.041392685,1.44963265,1.587710965,0.90579588,0.999565488,1.630529571,0,0.525044807,0.093421685,1.57245778
-0.070581074,1.939519253,1.168497484,1.240798771,0.828659897,1.182129214,0.697229343,-0.301029996,0.209515015,0.770852012,1.55114961
-0.124938737,2.439332694,0.698100546,1.767230098,1.433129518,1.457579147,1.781827153,-0.48148606,-0.091514981,0.093421685,1.53808067
-0.259637311,2.23299611,2.113776284,1.371437317,0.80685803,0.592176757,1.131297797,0.127104798,0.619093331,0.394451681,1.53676918
-0.187086643,2.012837225,1.549861188,1.520483533,0.971739591,0.416640507,1.505692507,0,0.36361198,0.190331698,1.49470019
-0.15490196,2.235528447,1.36567514,1.374748346,0.822821645,0.999565488,1.542576476,0,0.442479769,0.093421685,1.4507239
-0.22184875,2.367355921,0.372912003,1.410608543,1.028571253,1.495266744,1.329601248,0.178976947,0.292256071,0.336459734,1.42547816
-0.15490196,1.832508913,0.650307523,1.760347079,1.456214155,1.476831629,1.744527673,-0.48148606,-0.455931956,0.093421685,1.39954683
-0.124938737,2.127104798,-0.161150909,-0.13076828,-2,0.716837723,-2,-0.769551079,0.06069784,0.968949681,1.37119304
-0.346787486,2.269512944,0,0.835690571,0.919078092,0.63748973,0.45484486,0,0.568201724,1.135450699,1.36847048
-0.096910013,2.489958479,1.372912003,2.349277527,2.1389024,2.227938097,2.59827605,0.895422546,1.176380692,1.02325246,1.32471868
-0.096910013,2.480006943,0.049218023,-0.13076828,-0.004364805,0.240549248,-2,-2,0.017033339,0.269512944,1.31471071
-0.096910013,2.651278014,0,-0.13076828,0.419955748,0.240549248,-2,-0.769551079,-0.091514981,0.269512944,1.2879411
-0.124938737,2.44870632,1.495960395,1.112605002,0.990338855,1.362293938,0.45484486,-0.769551079,0.017033339,-0.031517051,1.25540807
-0.187086643,2.545307116,0.761175813,1.170555059,1.217747073,0.999565488,1.10754913,0.178976947,0.494154594,0.394451681,1.24187178
-0.124938737,2.51851394,0.99343623,1.615844883,1.251151343,1.114944416,1.672005445,-2,0.209515015,0.336459734,1.21236986
-0.15490196,2.164352856,1.670802284,1.780821176,1.139879086,0.240549248,2.112504459,-0.173925197,0.525044807,0.336459734,1.10540854
-0.187086643,2.545307116,0.761175813,1.170555059,1.213517757,0.999565488,1.10754913,0.178976947,0.494154594,0.394451681,1.07685091
-0.124938737,2.093421685,1.917820482,1.416806872,0.64738297,1.156549151,1.299507299,-2,0.267171728,0.394451681,1.02512829
-0.259637311,1.748188027,1.167612673,1.541704023,1.643748685,0.999565488,1.576686805,0.127104798,0.209515015,0.190331698,1.00439451
-0.096910013,2.356025857,1.905256049,1.607990859,0.931457871,1.642266619,1.62324929,-2,0.73479983,0.491361694,0.9991326
