124,14,,,,,,,,,,,,,
Distance to TSS,K562_dnase,K562_H2AFZ_broad,K562_H3K4me3_merge,K562_H3K4me1_usc,K562_H3K4me2_broad,K562_H3K9ac_merge,K562_H3K20me1_broad,K562_H3K27ac_broad,K562_H3K36me3_merge,K562_H3K79me2_broad,K562_H3K9me1_broad,K562_H3K9me3_broad,K562_H3K27me3_usc,score
-87,38.22,1.24,4.44,21.29,42.53,35.55,2.91,43.43,0.5,17.25,4.81,4.85,3.41,0.82483175
-175,25.98,9.61,20.46,1.74,76.95,66.66,0.97,143.81,1,13.25,6.41,3.58,2.17,0.82183055
-51,12.36,1.24,8.38,7.39,13.5,22.96,0,10.68,0.33,19.41,0.6,1.62,1.55,0.80896793
68,3.47,9.92,50.61,6.52,58.05,72.96,1.94,74.75,0.84,20.03,3.41,2.08,0.93,0.79099282
-317,53.3,7.75,3.29,16.08,37.8,51.66,1.94,224.25,1.84,5.24,5.01,3.46,2.48,0.77513086
-267,12.36,25.43,26.04,23.03,78.98,40.55,2.42,76.89,1.34,9.55,4.41,4.39,3.73,0.75177372
-221,31.3,2.48,13.23,2.61,28.35,31.48,1.94,33.46,0.84,3.24,1.2,2.31,1.55,0.71813657
-473,20.79,20.16,32.04,21.72,47.25,110.18,7.27,264.12,0.5,14.48,5.41,2.19,2.17,0.66449408
-192,10.76,4.34,30.97,2.61,38.48,62.77,3.88,60.51,1.84,18.49,1.8,1.85,0.31,0.65450334
-135,139.23,4.34,24.07,27.81,66.15,98.14,3.88,77.6,1.67,26.96,3.81,6.01,5.28,0.64756527
-67,53.69,2.17,8.54,10.43,55.35,52.96,2.91,46.27,0.33,2.93,7.61,2.77,0.62,0.64366075
-143,12.15,31.95,87.41,13.47,86.4,142.21,1.94,107.5,1.34,36.05,7.01,3.81,3.1,0.60625935
-179,13.45,25.74,32.12,16.08,95.85,42.96,1.45,42,1.51,9.86,3.81,3.23,0.62,0.56857075
-179,3.78,4.34,7.31,29.98,30.38,22.41,0.48,5.7,1,0.31,2.6,1.62,7.14,0.54830806
-190,11.39,1.86,11.01,12.17,12.15,24.81,1.45,11.39,0.5,18.33,0.8,1.39,1.55,0.53035901
-65,31.24,1.55,10.52,22.16,56.03,59.25,1.94,49.12,0.84,18.49,3.61,3.23,0.62,0.50653537
-97,23.11,18.92,60.22,12.6,67.5,123.51,1.45,86.14,1.17,29.89,7.01,3.58,2.79,0.48998002
29,82.82,0.62,7.56,4.34,19.58,30.55,0.48,14.24,0.33,14.33,1.6,1.62,0.93,0.46504434
-51,166.27,4.34,13.8,16.95,37.8,70.74,3.39,45.56,0.84,16.33,3.81,5.08,4.97,0.45985143
20,17.43,3.41,14.54,5.65,22.28,48.7,1.45,32.04,0.5,8.01,3.41,1.15,1.24,0.4448545
-178,2.48,3.41,21.36,21.29,29.7,13.89,0.48,1.42,0.17,2.31,2.8,1.73,1.86,0.42314751
-66,20.18,1.55,6.49,9.99,37.8,41.48,2.42,54.11,0.67,10.01,2.2,1.15,3.1,0.41974872
-54,35.32,5.58,23.66,2.17,128.93,75.92,5.33,191.5,3.68,66.24,7.21,7.74,5.28,0.41538343
-74,34.87,4.03,10.93,41.71,40.5,32.96,0.97,14.24,0.33,3.39,5.01,1.62,1.24,0.36790929
-143,24.29,8.99,42.15,4.78,51.98,54.63,1.45,54.11,1.34,24.49,5.41,3.12,1.24,0.3433074
-103,3.2,34.12,24.48,3.48,96.53,77.22,3.39,279.07,0.5,12.79,5.41,1.96,2.17,0.34254746
-111,134.49,4.03,8.54,3.04,33.75,28.15,0.48,12.81,0.5,8.94,1.6,3.7,2.48,0.34045077
-165,15.44,8.68,5.26,23.46,31.73,22.78,2.42,28.48,0.67,4.78,2.8,1.39,1.86,0.31945267
9,18.61,4.65,8.71,5.65,32.4,30,4.36,48.41,0.67,8.47,2.4,1.62,0.62,0.2954074
-316,2.24,10.86,46.83,11.3,24.3,55.92,0.48,32.04,0.5,9.09,2.2,1.62,1.86,0.29217166
-123,5.17,28.53,38.37,2.61,67.5,81.11,4.36,188.66,0.33,18.79,3.41,2.54,0.93,0.25575573
-170,21.39,2.79,13.72,6.95,19.58,40.18,1.45,27.76,0.5,7.39,1,1.15,1.55,0.22966602
-131,33.18,0.93,1.89,6.52,22.28,14.63,0.48,9.97,0,2.77,2.6,3.12,2.17,0.1947075
177,11.75,4.96,26.78,5.65,37.13,57.22,0.97,46.27,0.5,11.86,3.41,1.62,1.24,0.1465911
-46,13.69,3.41,15.61,7.82,16.88,10.74,0,0.71,0.17,2.16,2.8,1.96,1.86,0.10916771
-41,72.33,5.27,20.79,4.78,45.9,46.66,1.94,20.65,0.84,14.94,2.6,4.04,2.17,0.10259703
-289,19.1,10.86,19.72,3.91,61.43,68.88,2.42,170.15,0,6.62,3.81,2.31,1.24,0.07069083
-249,35.32,7.44,13.47,24.33,43.2,104.44,6.78,264.83,0.5,8.32,4.21,2.66,2.17,0.03537344
-17,35.41,4.96,18.4,9.12,75.6,33.33,2.91,41.29,0.84,26.81,5.81,1.85,1.55,0.01343805
-49,38.01,6.2,25.22,4.34,72.9,81.11,2.91,88.28,1.34,36.36,4.61,1.96,0.62,0.01291799
21,27.5,8.37,24.24,3.04,126.23,97.4,2.42,247.74,2.51,48.53,8.81,7.04,5.9,0.00825659
